File Name,Class,Subject,Part,Title,Size (Bytes),Direct Download Link,Public Web Link
class10_english_part1.pdf,10,english,1,Class 10 English Part 1,1056762,https://drive.google.com/uc?export=download&id=1WSa4dfjvjhsGZdzIdjRvBko6o4_RXGl8,https://drive.google.com/open?id=1WSa4dfjvjhsGZdzIdjRvBko6o4_RXGl8
class10_english_part2.pdf,10,english,2,Class 10 English Part 2,42268562,https://drive.google.com/uc?export=download&id=1PyZcOYa8UWM4mt5CuNQVsbTvAmLWuO88,https://drive.google.com/open?id=1PyZcOYa8UWM4mt5CuNQVsbTvAmLWuO88
class10_english_part3.pdf,10,english,3,Class 10 English Part 3,20393863,https://drive.google.com/uc?export=download&id=1QoVIGi4ZIHvGQT9kkXvo5fwdq7M18pAy,https://drive.google.com/open?id=1QoVIGi4ZIHvGQT9kkXvo5fwdq7M18pAy
class10_hindi_part1.pdf,10,hindi,1,Class 10 Hindi Part 1,2273147,https://drive.google.com/uc?export=download&id=1NK7KlGb14463ewbd918QxR4ghZ4_76Xx,https://drive.google.com/open?id=1NK7KlGb14463ewbd918QxR4ghZ4_76Xx
class10_hindi_part2.pdf,10,hindi,2,Class 10 Hindi Part 2,2074960,https://drive.google.com/uc?export=download&id=1P_5N-ZYzG0jbaBZJGUEgNyG-dLbn6Hhn,https://drive.google.com/open?id=1P_5N-ZYzG0jbaBZJGUEgNyG-dLbn6Hhn
class10_hindi_part3.pdf,10,hindi,3,Class 10 Hindi Part 3,2437864,https://drive.google.com/uc?export=download&id=183HiqkrSOiqh2n4GKoroOxkdZ2mhU4ic,https://drive.google.com/open?id=183HiqkrSOiqh2n4GKoroOxkdZ2mhU4ic
class10_mathematics_part1.pdf,10,mathematics,1,Class 10 Mathematics Part 1,21801123,https://drive.google.com/uc?export=download&id=12h8i4yLsJAJZ3gc9_QBtABcVoTFW48Ri,https://drive.google.com/open?id=12h8i4yLsJAJZ3gc9_QBtABcVoTFW48Ri
class10_mathematics_part2.pdf,10,mathematics,2,Class 10 Mathematics Part 2,25475989,https://drive.google.com/uc?export=download&id=1Ra4rzcl6IGai6FWVDFBlZClpk945cHYp,https://drive.google.com/open?id=1Ra4rzcl6IGai6FWVDFBlZClpk945cHYp
class10_physics.pdf,10,physics,,Class 10 Physics,6288684,https://drive.google.com/uc?export=download&id=15dlzTvfTFfxRTPV50hmyF1g4qpxYtUb1,https://drive.google.com/open?id=15dlzTvfTFfxRTPV50hmyF1g4qpxYtUb1
class10_sanskrit.pdf,10,sanskrit,,Class 10 Sanskrit,7280013,https://drive.google.com/uc?export=download&id=1F3uSF4c3PePKvSe3m5NWBEhCyxMoy24t,https://drive.google.com/open?id=1F3uSF4c3PePKvSe3m5NWBEhCyxMoy24t
class10_science_part1.pdf,10,science,1,Class 10 Science Part 1,128273937,https://drive.google.com/uc?export=download&id=1-LYHZvpB1amHRt0ifQXOaqi999eod-Il,https://drive.google.com/open?id=1-LYHZvpB1amHRt0ifQXOaqi999eod-Il
class10_science_part2.pdf,10,science,2,Class 10 Science Part 2,32235830,https://drive.google.com/uc?export=download&id=10ciTbXE2ee-ea5aE5LdJz-2uTjhrvDU5,https://drive.google.com/open?id=10ciTbXE2ee-ea5aE5LdJz-2uTjhrvDU5
class11_biology_part1.pdf,11,biology,1,Class 11 Biology Part 1,159937604,https://drive.google.com/uc?export=download&id=1JjTwGGDQYsNUofjU8ISuDMe7Blh_wHjr,https://drive.google.com/open?id=1JjTwGGDQYsNUofjU8ISuDMe7Blh_wHjr
class11_biology_part10.pdf,11,biology,10,Class 11 Biology Part 10,13842359,https://drive.google.com/uc?export=download&id=1vO3ffwtPgObZUdmwDGaDMeKotJmGSUhm,https://drive.google.com/open?id=1vO3ffwtPgObZUdmwDGaDMeKotJmGSUhm
class11_biology_part11.pdf,11,biology,11,Class 11 Biology Part 11,13622445,https://drive.google.com/uc?export=download&id=1aUR2-WInTb_xG61hBxh5jCur-rZXAInR,https://drive.google.com/open?id=1aUR2-WInTb_xG61hBxh5jCur-rZXAInR
class11_biology_part12.pdf,11,biology,12,Class 11 Biology Part 12,15517247,https://drive.google.com/uc?export=download&id=1wmNAmEgHnUtVALalCUR1Nf4nlRkDZXiM,https://drive.google.com/open?id=1wmNAmEgHnUtVALalCUR1Nf4nlRkDZXiM
class11_biology_part2.pdf,11,biology,2,Class 11 Biology Part 2,136467129,https://drive.google.com/uc?export=download&id=1DDKOEDcPwwO9LXXF8snOFPS4UwZ5FMRa,https://drive.google.com/open?id=1DDKOEDcPwwO9LXXF8snOFPS4UwZ5FMRa
class11_biology_part3.pdf,11,biology,3,Class 11 Biology Part 3,7470173,https://drive.google.com/uc?export=download&id=1JcGtuj_0JzROpSGRccgw0lcOtaPgkhAG,https://drive.google.com/open?id=1JcGtuj_0JzROpSGRccgw0lcOtaPgkhAG
class11_biology_part4.pdf,11,biology,4,Class 11 Biology Part 4,11466738,https://drive.google.com/uc?export=download&id=1DSCyWENdyBW9YlBDKbkH-DYUOq0TWlYG,https://drive.google.com/open?id=1DSCyWENdyBW9YlBDKbkH-DYUOq0TWlYG
class11_biology_part5.pdf,11,biology,5,Class 11 Biology Part 5,14008480,https://drive.google.com/uc?export=download&id=1xDoBMnpAOdukU9mnE4fgqa-6X95jswkA,https://drive.google.com/open?id=1xDoBMnpAOdukU9mnE4fgqa-6X95jswkA
class11_biology_part6.pdf,11,biology,6,Class 11 Biology Part 6,13805559,https://drive.google.com/uc?export=download&id=1eTVGi3YcyGEEwBGYX3s3eT4hg9uUqIQm,https://drive.google.com/open?id=1eTVGi3YcyGEEwBGYX3s3eT4hg9uUqIQm
class11_biology_part7.pdf,11,biology,7,Class 11 Biology Part 7,16104377,https://drive.google.com/uc?export=download&id=1cgFGobCc2gx6jWXoOmKQDp17XbD7umRb,https://drive.google.com/open?id=1cgFGobCc2gx6jWXoOmKQDp17XbD7umRb
